idnew_table,username,date,title,team
1,krafton,2022-10-25,"조별 와이어 프레임 발표",0
2,krafton,2022-10-27,"조별 결과물 발표",0
3,krafton,2022-10-29,"정글 에세이 제출",0
4,krafton,2022-10-31,"알고리즘 시험 답안 제출 연습",0
5,krafton,2022-11-03,"시험 (정수론, 배열, 문자열, 재귀함수, 정렬, 완전탐색, 시간복잡도)",0
6,krafton,2022-11-10,"시험 (이분탐색, 분할정복, 스택, 큐, 우선순위 큐)",0
7,krafton,2022-11-17,"시험 (그래프(vertex, edge, node, arc), BFS, DFS, 위상정렬)",0
8,krafton,2022-11-24,"시험 (동적 프로그래밍, 그리디 알고리즘)",0
9,krafton,2022-12-08,"Malloc Lab 과제 상호 코드리뷰",0
10,krafton,2022-12-15,"웹서버 과제 상호 코드리뷰",0
11,krafton,2022-12-16,"OS 강의 1차",0
12,krafton,2022-12-20,"OS 강의 2차",0
13,krafton,2022-12-21,"운영체제 Threads 프로젝트 제출",0
14,krafton,2022-12-30,"운영체제 User Programs 프로젝트 제출",0
15,krafton,2023-01-13,"운영체제 Virtual Memory 프로젝트 제출",0
16,krafton,2023-01-19,"리더 지원자 면담",0
17,krafton,2023-01-19,"운영체제 File System 프로젝트 제출",0
18,krafton,2021-01-21,"최종 과제 상호 소개",0
19,krafton,2023-01-25,"최종 과제 팀원 상호 선택 제출",0
20,krafton,2023-01-26,"최종 과제 리더 매칭 결과 발표",0
21,krafton,2023-02-04,"최종 과제 프로젝트 초안 발표",0
22,krafton,2023-02-08,"팀별 업데이트 발표, 상황 공유",0
23,krafton,2023-02-17,"최종 과제 중간 발표",0
24,krafton,2023-03-03,"최종 과제 마무리 발표",0
25,krafton,2023-03-10,"최종 과제 발표 리허설",0
26,krafton,2023-03-12,"최종 발표",0
27,krafton,2022-12-01,"Red-Black Tree 알고리즘 상호 코드 리뷰",0
28,이민섭,2022-11-11,"빼배로 데이",0
